ASV,community,degree,intramodule_degree,z_score,P_score,role
a19152d55f42fc72a3a0f985d2615aab,1,24,17,2.215657456261186,0.4131944444444444,Peripheral non-hub
e144d237c973d831d708cac2c17df968,1,18,17,2.215657456261186,0.1049382716049383,Peripheral non-hub
e1c573f885ed4c9191a32116f583d78a,6,25,23,1.944288827364949,0.1472,Peripheral non-hub
ec92f6331d8ecb50e3f0dee8fbf3bcb0,1,16,15,1.7903609785887602,0.1171875,Peripheral non-hub
ff6f97ce50ea01298f8e58b53b97d489,6,22,21,1.648418788418109,0.08677685950413205,Peripheral non-hub
25c54c57b4a4283237b33fdae82003c0,6,25,21,1.648418788418109,0.26880000000000015,Peripheral non-hub
09383f3babfd32418e7ba07634680e12,2,12,8,1.6398244998303637,0.4444444444444444,Peripheral non-hub
35dbde30af820a2c3bcd85216229ad6a,6,23,20,1.5004837689446888,0.22684310018903586,Peripheral non-hub
e79a45f432d0ccc86adbf9bbe7cef2a7,5,15,6,1.4605934866804429,0.5511111111111111,Peripheral non-hub
4adbf4beb8d2b17f63b543e4d9aa39b6,0,4,3,1.414213562373095,0.375,Peripheral non-hub
499a635c6e7dcd5c8ef518302aa50011,6,25,19,1.352548749471269,0.3648,Peripheral non-hub
4bea53b2aad77f2569a0182f6b84255e,2,10,7,1.2493900951088486,0.42000000000000004,Peripheral non-hub
430c875622713c0d7662add2d8e7db60,6,20,18,1.2046137299978488,0.17999999999999994,Peripheral non-hub
2e8ba4a2f665cc3ad88530fc739b1f9c,3,29,28,1.1838307865498223,0.06658739595719365,Peripheral non-hub
1cbf580d763d0eb5497ff2d6468e7668,3,29,28,1.1838307865498223,0.06658739595719365,Peripheral non-hub
206069e5a5041e6c7f39a4141aefdc19,3,32,28,1.1838307865498223,0.21875,Peripheral non-hub
efbade8cc54695abfc5c07f21eecb6e7,1,14,12,1.1524162620801217,0.24489795918367352,Peripheral non-hub
5631fe818e588992529f6071afc9cda5,1,19,12,1.1524162620801217,0.4986149584487535,Peripheral non-hub
5cb2b4186e2e95521540e2ccbafcb4c9,4,4,3,1.118033988749895,0.375,Peripheral non-hub
b757c414a3bc227758c09624ca177986,4,5,3,1.118033988749895,0.48,Peripheral non-hub
9feda0d620fa50b57ce3f848e1b48975,6,18,17,1.0566787105244289,0.1049382716049383,Peripheral non-hub
1ad05a58bf23396d80f11695ad750b75,5,7,5,0.9128709291752767,0.40816326530612246,Peripheral non-hub
66575db7635d648549a9eb5a4eafb710,5,8,5,0.9128709291752767,0.46875,Peripheral non-hub
6aa300d5323cbf75dc53cec3e6acb87c,6,21,16,0.9087436910510087,0.3900226757369616,Peripheral non-hub
be9dcf562f0ab066c0b252d527a42d19,6,17,16,0.9087436910510087,0.11072664359861584,Peripheral non-hub
5837405da6036e7481240160de143774,3,26,25,0.8848836182291602,0.07396449704142016,Peripheral non-hub
179e72f0ecdfeb920df685432f3f2d1a,6,16,15,0.7608086715775887,0.1171875,Peripheral non-hub
cd05a4b1cda569ae366c6980823f4c72,1,13,10,0.7271197844076958,0.3550295857988165,Peripheral non-hub
4b50be28c2cc7c6a4dbc6300155c5218,1,16,10,0.7271197844076958,0.46875,Peripheral non-hub
a82691ab5fd4e8d3d3b23b7958c8e764,6,17,14,0.6128736521041687,0.3044982698961938,Peripheral non-hub
4c7b0d554a1103b7872deded4bccb4ea,6,15,14,0.6128736521041687,0.12444444444444436,Peripheral non-hub
c4118088ab2644671a1d9d540c060b19,3,23,22,0.5859364499084979,0.08317580340264641,Peripheral non-hub
164212c0910ca9770a6bd13bcb2c5d05,1,12,9,0.5144715455714828,0.375,Peripheral non-hub
d98dabbea4fe10de13ec5310782324e8,3,21,20,0.38663833769472306,0.09070294784580502,Peripheral non-hub
93fadef301b62aa732e42bf1142b3afa,3,27,20,0.38663833769472306,0.4005486968449933,Peripheral non-hub
3343d19c0bc1759a66023cbc86c92592,5,7,4,0.36514837167011066,0.5714285714285714,Peripheral non-hub
a061d8883eca2028db1d268500722130,5,7,4,0.36514837167011066,0.5714285714285714,Peripheral non-hub
5ccde7f0ad35d7a47123478dd67b2774,1,9,8,0.30182330673526986,0.19753086419753085,Peripheral non-hub
d3cf08daefed96f494257ceff63a6cf8,1,10,7,0.08917506789905695,0.42000000000000004,Peripheral non-hub
5c331188779be5bb65a2e80544aa8dea,3,18,17,0.08769116937406082,0.1049382716049383,Peripheral non-hub
0fec351445f84bd482075ceda6123f46,3,19,17,0.08769116937406082,0.18836565096952906,Peripheral non-hub
213ec0ef843de45b3db9302876229bed,6,13,10,0.0211335742104885,0.3550295857988165,Peripheral non-hub
92f305372628ccbd74b7b28b933d306b,0,5,2,0.0,0.48,Peripheral non-hub
405dff4269ebcff0dbc2d5c0c63a1ee3,4,3,2,0.0,0.4444444444444444,Peripheral non-hub
37a9f9625f201b6e61c29ac09ec54683,8,2,1,0.0,0.5,Peripheral non-hub
7a7c96429cd038c333985399c9eb963c,1,8,6,-0.12347317093715597,0.375,Peripheral non-hub
04869be25e3dc4d526ce3824d407aedf,6,10,9,-0.12680144526293152,0.17999999999999994,Peripheral non-hub
06246fa4c1b00ea76b5539442f32c012,6,14,9,-0.12680144526293152,0.4591836734693877,Peripheral non-hub
765b69d9c4313cc8630769db523cc54c,6,10,9,-0.12680144526293152,0.17999999999999994,Peripheral non-hub
b6e342d9f4e409f24eea3859aa76e82a,5,7,3,-0.18257418583505544,0.48979591836734704,Peripheral non-hub
8a4c692c01077fa5a93913725097b3bc,3,16,14,-0.2112559989466014,0.21875,Peripheral non-hub
28b5f35cfb5f0516e5e5f896428abdcd,6,11,8,-0.27473646473635155,0.39669421487603307,Peripheral non-hub
19083703874fec5c0e976f6ca4fa6bc9,6,8,7,-0.42267148420977163,0.21875,Peripheral non-hub
15c0fe41b25c6504b8dbe48ae72283d0,3,12,11,-0.5102031672672637,0.1527777777777779,Peripheral non-hub
793ecb5ed65cd96425a35698e8ab9e78,1,6,4,-0.5487696486095819,0.4444444444444444,Peripheral non-hub
b64cf0e9dea8cef6b9500b364c179b98,2,3,2,-0.7027819284987272,0.4444444444444444,Peripheral non-hub
de329304e57f0e32da3a08e64625a2e1,6,7,5,-0.7185415231566117,0.40816326530612246,Peripheral non-hub
a5b2537343a26f4daf0379a8b46eb2ef,1,4,3,-0.7614178874457947,0.375,Peripheral non-hub
83adaf3a09d08c93f2abea6a4c815592,1,3,2,-0.9740661262820077,0.4444444444444444,Peripheral non-hub
0709277372b3816e3986842fb10c8e96,3,9,6,-1.0084484478017006,0.4444444444444444,Peripheral non-hub
cf9d6956cc5e9b057171f8ba480e6fbf,4,2,1,-1.118033988749895,0.5,Peripheral non-hub
7b43b24e8c817bba9f0008696985ae06,1,2,1,-1.1867143651182206,0.5,Peripheral non-hub
b3d8bf326297fb9b18ea4fef1ce8d4a6,5,2,1,-1.2780193008453875,0.5,Peripheral non-hub
8ebc39e79a930b5db089420489c40543,5,2,1,-1.2780193008453875,0.5,Peripheral non-hub
d42912a22b570ab99938b745999ae2cc,2,9,9,2.0302589045518786,0.0,Ultra-peripheral non-hub
7281c911136ba2bdcafebb9c71729dea,3,35,35,1.8813741792980343,0.0,Ultra-peripheral non-hub
0ef7e12e6eb35a8fd9fac7badac0c381,3,30,30,1.3831288987635972,0.0,Ultra-peripheral non-hub
a49becf5a5dbcb201f091757c62fc6bb,1,13,13,1.3650645009163345,0.0,Ultra-peripheral non-hub
da47a34fd036b068ca0c5eaf185e2082,6,19,19,1.352548749471269,0.0,Ultra-peripheral non-hub
945e47119242497c2e0bc5b3c6b6ba8e,3,29,29,1.2834798426567098,0.0,Ultra-peripheral non-hub
6e21064675bd1626771d39886cc9d88b,3,29,29,1.2834798426567098,0.0,Ultra-peripheral non-hub
daac17ca54538cbc9aada8497262da96,3,29,29,1.2834798426567098,0.0,Ultra-peripheral non-hub
3e7c933c821c9f18e53e1dda439951cf,3,29,29,1.2834798426567098,0.0,Ultra-peripheral non-hub
1f4fb4bfdca6c9d13106ed533362a62e,2,7,7,1.2493900951088486,0.0,Ultra-peripheral non-hub
472fdc0687378563f0c9da6da7638e1a,6,18,18,1.2046137299978488,0.0,Ultra-peripheral non-hub
af9554a6cc07a34c1cb6004e3dbb865a,3,27,27,1.0841817304429349,0.0,Ultra-peripheral non-hub
f876e4d5cbaa6ac5f3c225bcaf146791,3,26,26,0.9845326743360475,0.0,Ultra-peripheral non-hub
916d15ab17794198ea4c5ad1e3fb6258,3,25,25,0.8848836182291602,0.0,Ultra-peripheral non-hub
ee14afe4571845779465f8dc9646c7b4,2,6,6,0.8589556903873334,0.0,Ultra-peripheral non-hub
aa9c5ae2ec6da55f30edd92e3de37eff,2,6,6,0.8589556903873334,0.0,Ultra-peripheral non-hub
702860fda44c0d44ddacb5bd79fd5d24,3,24,24,0.7852345621222727,0.0,Ultra-peripheral non-hub
0f4c04cefd226f6854ad0fbc2a2de226,6,15,15,0.7608086715775887,0.0,Ultra-peripheral non-hub
3e524f0bf09623c8530930bb8b27045c,3,23,23,0.6855855060153853,0.0,Ultra-peripheral non-hub
dd07e924156039f8e953d5ea58ab5023,3,22,22,0.5859364499084979,0.0,Ultra-peripheral non-hub
f2fbdc2b912ea775653691981335232f,3,22,22,0.5859364499084979,0.0,Ultra-peripheral non-hub
df20ccfbfc0741ee313d9e9433dbac01,3,22,22,0.5859364499084979,0.0,Ultra-peripheral non-hub
7d537f12eaa3231c2c2b58b74901051c,1,9,9,0.5144715455714828,0.0,Ultra-peripheral non-hub
817555c3b5d93664c38e8fbec64eba2e,3,21,21,0.48628739380161046,0.0,Ultra-peripheral non-hub
f3c13bc899928e8043766ca73a046487,2,5,5,0.46852128566581824,0.0,Ultra-peripheral non-hub
779e393e6ff91129f826c691a0d16db3,2,5,5,0.46852128566581824,0.0,Ultra-peripheral non-hub
85b80813a3be5e162f462e085b709b85,3,20,20,0.38663833769472306,0.0,Ultra-peripheral non-hub
ce264b1fd05f8dfc0dd2941a2b170a3a,3,20,20,0.38663833769472306,0.0,Ultra-peripheral non-hub
a43c475502b54cdee1385dcca3109bfe,6,12,12,0.31700361315732856,0.0,Ultra-peripheral non-hub
a039c1ac15b3f4bc5cf1db8a5f1cc0fd,6,12,12,0.31700361315732856,0.0,Ultra-peripheral non-hub
47515cfa358287ae00ead27b78b2285b,3,18,18,0.18734022548094822,0.0,Ultra-peripheral non-hub
d02e8e093df5064814273f652473189e,6,11,11,0.16906859368390853,0.0,Ultra-peripheral non-hub
212e304679f170a464d2616b3f94a250,1,7,7,0.08917506789905695,0.0,Ultra-peripheral non-hub
4835c874610f20a02421b283dbe2f2b6,3,17,17,0.08769116937406082,0.0,Ultra-peripheral non-hub
7f78afb7e1d45cd528fe9cd909c93fb5,2,4,4,0.0780868809443031,0.0,Ultra-peripheral non-hub
d693c275c376753e40770f95ba69a9f9,0,2,2,0.0,0.0,Ultra-peripheral non-hub
d863bc6a2fa6a8a93787e45a6abe3304,7,1,1,0.0,0.0,Ultra-peripheral non-hub
ce8d585abe69c46ac0fba61726d046c5,7,1,1,0.0,0.0,Ultra-peripheral non-hub
01bc6f144e0f577c7a5364ebafdb3509,8,1,1,0.0,0.0,Ultra-peripheral non-hub
94c501c5d59dddbd80effa77dbceebe0,3,15,15,-0.11160694283971401,0.0,Ultra-peripheral non-hub
7f1023e871bcd3a4f7ac96f3a40c9a8d,1,6,6,-0.12347317093715597,0.0,Ultra-peripheral non-hub
f42aeaf1c13130f1fdfc8bafa43ded29,6,8,8,-0.27473646473635155,0.0,Ultra-peripheral non-hub
e6485d233ed2b8b9a2f3f50f0747b9d2,3,13,13,-0.3109050550534888,0.0,Ultra-peripheral non-hub
6148c6e49d72c0f24a187a979ba7a5aa,2,3,3,-0.31234752377721203,0.0,Ultra-peripheral non-hub
75dd0ee2682cb0bf3146f334b0c41c93,2,3,3,-0.31234752377721203,0.0,Ultra-peripheral non-hub
0c488eee4c6d02abb4e34df3ec16a09b,1,5,5,-0.3361214097733689,0.0,Ultra-peripheral non-hub
1d33e98c9d94c262ab0d8b56d0936eb4,1,5,5,-0.3361214097733689,0.0,Ultra-peripheral non-hub
94ef08db649a5339b6de95109a8bad0f,1,5,5,-0.3361214097733689,0.0,Ultra-peripheral non-hub
2c452b25c7f3c62be462d8f47ed179e3,1,5,5,-0.3361214097733689,0.0,Ultra-peripheral non-hub
c55a8101fb6c187736f0af61f720cb92,3,12,12,-0.4105541111603762,0.0,Ultra-peripheral non-hub
deb262fd92af4fdcd3b6240303048b2a,6,7,7,-0.42267148420977163,0.0,Ultra-peripheral non-hub
a53b7a494838590a5600a018277e55ea,6,7,7,-0.42267148420977163,0.0,Ultra-peripheral non-hub
63f37ee4b481fccdffca10160ed5b944,1,4,4,-0.5487696486095819,0.0,Ultra-peripheral non-hub
65c689dc4b8772012494d43535fd1102,6,6,6,-0.5706065036831917,0.0,Ultra-peripheral non-hub
19463e5fe824700110e4a4ec8afe0512,3,10,10,-0.609852223374151,0.0,Ultra-peripheral non-hub
72d63057d6e53e6e72b1af409c9ed0fb,2,2,2,-0.7027819284987272,0.0,Ultra-peripheral non-hub
b4eac52cfa36ce63f24be2fc530ad204,2,2,2,-0.7027819284987272,0.0,Ultra-peripheral non-hub
89dfaf0aa4a8af8e27a826ba8dd97044,2,2,2,-0.7027819284987272,0.0,Ultra-peripheral non-hub
cd991e2f230049eb76c8e3b3fcece79f,6,5,5,-0.7185415231566117,0.0,Ultra-peripheral non-hub
21ceeb224e15175f0c85797abce40d0a,6,5,5,-0.7185415231566117,0.0,Ultra-peripheral non-hub
09ee5eb3e6c726c7c8242f6e97453fc2,1,3,3,-0.7614178874457947,0.0,Ultra-peripheral non-hub
659d1fe872c9b31a9e0b81eef5ca6218,1,3,3,-0.7614178874457947,0.0,Ultra-peripheral non-hub
8b2843ccdbc3d39c6d758b7f91388341,3,8,8,-0.8091503355879259,0.0,Ultra-peripheral non-hub
a402fc6f0fd057decbe746f48bf12862,3,8,8,-0.8091503355879259,0.0,Ultra-peripheral non-hub
aa20c972229ba580ad2044118ab67181,6,4,4,-0.8664765426300317,0.0,Ultra-peripheral non-hub
894d5f2608f2a0e9e3bf2499f1cc6130,3,7,7,-0.9087993916948133,0.0,Ultra-peripheral non-hub
8a1c973b6094cbd560f363581ce1beba,1,2,2,-0.9740661262820077,0.0,Ultra-peripheral non-hub
42bdb37eaf4585993d2dadc410341bfc,2,1,1,-1.0932163332202423,0.0,Ultra-peripheral non-hub
bb617d32673d5f60d6216a07ad7a42bc,2,1,1,-1.0932163332202423,0.0,Ultra-peripheral non-hub
55c520d7fe25c3a704fca36f36fde991,2,1,1,-1.0932163332202423,0.0,Ultra-peripheral non-hub
fde5fbd4507f68a2eabc92fb449d9965,2,1,1,-1.0932163332202423,0.0,Ultra-peripheral non-hub
b26eb5a5ca6820d220d5433b1cffa5e6,2,1,1,-1.0932163332202423,0.0,Ultra-peripheral non-hub
43a52ec4605b37f3671b33e61ff6fedd,3,5,5,-1.108097503908588,0.0,Ultra-peripheral non-hub
f847d5bbe9c5a3555db3988cfa1b838f,4,1,1,-1.118033988749895,0.0,Ultra-peripheral non-hub
29b313a5262947210e3e9de415abaead,6,2,2,-1.1623465815768719,0.0,Ultra-peripheral non-hub
c571cb007a7d9e2dfc56e8c0b4e24104,6,2,2,-1.1623465815768719,0.0,Ultra-peripheral non-hub
8d422552eb2392c7c2d4743727d1ff33,6,2,2,-1.1623465815768719,0.0,Ultra-peripheral non-hub
4c31c3e198534eab45b6d92b61f75b10,6,2,2,-1.1623465815768719,0.0,Ultra-peripheral non-hub
a6efdb52a04e05a2a1be52f5516784fa,1,1,1,-1.1867143651182206,0.0,Ultra-peripheral non-hub
dc9b83b9dbf521d0d0b0e1576e44d06a,1,1,1,-1.1867143651182206,0.0,Ultra-peripheral non-hub
d801b2110a503327da848c95357ca4a5,1,1,1,-1.1867143651182206,0.0,Ultra-peripheral non-hub
ac9e79a82beb3b70c0c7193fff0a8524,1,1,1,-1.1867143651182206,0.0,Ultra-peripheral non-hub
aca43babf06d3410ce71cad5778ff102,3,4,4,-1.2077465600154755,0.0,Ultra-peripheral non-hub
5976a56adfe903f7348b5eb5689e3c55,3,4,4,-1.2077465600154755,0.0,Ultra-peripheral non-hub
9711e5e56376fe411f8d9ca9e739c6f1,5,1,1,-1.2780193008453875,0.0,Ultra-peripheral non-hub
c7553191e309cfc2e28aea2507e7afdf,3,3,3,-1.307395616122363,0.0,Ultra-peripheral non-hub
b5b93f7fc3d0a88dff0ced83eb0bb5ab,3,3,3,-1.307395616122363,0.0,Ultra-peripheral non-hub
924ba8e00fb9f76de6bf217aac8ca9d4,6,1,1,-1.3102816010502918,0.0,Ultra-peripheral non-hub
380c64674875dbcea485ba8f1ce26a6c,6,1,1,-1.3102816010502918,0.0,Ultra-peripheral non-hub
abaecd8b82d14efc7ccc4dcb7f864cba,6,1,1,-1.3102816010502918,0.0,Ultra-peripheral non-hub
61bffb5ed48deb86adad74d3d45df340,6,1,1,-1.3102816010502918,0.0,Ultra-peripheral non-hub
e29f9ab1342fe7d53d4f1e2d03bb5969,6,1,1,-1.3102816010502918,0.0,Ultra-peripheral non-hub
acfe0924c0f9c6ca3720854b5b458d54,6,1,1,-1.3102816010502918,0.0,Ultra-peripheral non-hub
0112df9b91ee10ca73426db0de32571b,3,2,2,-1.4070446722292504,0.0,Ultra-peripheral non-hub
99a197229849c15140fc329cff0ccb90,3,2,2,-1.4070446722292504,0.0,Ultra-peripheral non-hub
d0d582d9d9b71467f236f9bace54eea5,3,2,2,-1.4070446722292504,0.0,Ultra-peripheral non-hub
800e0527da5f9218e61c70f7d0ec8715,0,1,1,-1.414213562373095,0.0,Ultra-peripheral non-hub
b0c74390aa5ac540757eb2256575019e,3,1,1,-1.5066937283361377,0.0,Ultra-peripheral non-hub
c2d746ce5aed150d6696eed8143ec2c7,3,1,1,-1.5066937283361377,0.0,Ultra-peripheral non-hub
18b7af5d1e7696bb8cd541bdde042b51,3,1,1,-1.5066937283361377,0.0,Ultra-peripheral non-hub
4f3989d95e7611bb6b5307454d75d3ce,3,1,1,-1.5066937283361377,0.0,Ultra-peripheral non-hub
